"Approach","Count","Page Size","Mean (in microseconds)","p99 (in microseconds)","p95 (in microseconds)","p50 (in microseconds)"
5
10
"skiplimit",5,10,340.46173095703125,340.46173095703125,340.46173095703125,340.46173095703125
"idlimit",5,10,297.0695495605469,297.0695495605469,297.0695495605469,297.0695495605469
20
"skiplimit",5,20,312.2488657633464,312.2488657633464,312.2488657633464,312.2488657633464
"idlimit",5,20,282.60548909505206,282.60548909505206,282.60548909505206,282.60548909505206
30
"skiplimit",5,30,287.69175211588544,287.69175211588544,287.69175211588544,287.69175211588544
"idlimit",5,30,281.6518147786458,281.6518147786458,281.6518147786458,281.6518147786458
40
"skiplimit",5,40,279.5855204264323,279.5855204264323,279.5855204264323,279.5855204264323
"idlimit",5,40,292.4601236979167,292.4601236979167,292.4601236979167,292.4601236979167
50
"skiplimit",5,50,279.6649932861328,279.6649932861328,279.6649932861328,279.6649932861328
"idlimit",5,50,274.97609456380206,274.97609456380206,274.97609456380206,274.97609456380206
60
"skiplimit",5,60,274.1018931070964,274.1018931070964,274.1018931070964,274.1018931070964
"idlimit",5,60,276.0092417399089,276.0092417399089,276.0092417399089,276.0092417399089
70
"skiplimit",5,70,275.2939860026042,275.2939860026042,275.2939860026042,275.2939860026042
"idlimit",5,70,285.78440348307294,285.78440348307294,285.78440348307294,285.78440348307294
80
"skiplimit",5,80,286.34071350097656,286.34071350097656,286.34071350097656,286.34071350097656
"idlimit",5,80,307.95733133951825,307.95733133951825,307.95733133951825,307.95733133951825
90
"skiplimit",5,90,280.53919474283856,280.53919474283856,280.53919474283856,280.53919474283856
"idlimit",5,90,279.9034118652344,279.9034118652344,279.9034118652344,279.9034118652344
100
"skiplimit",5,100,275.2145131429036,275.2145131429036,275.2145131429036,275.2145131429036
"idlimit",5,100,294.76483662923175,294.76483662923175,294.76483662923175,294.76483662923175
10
10
"skiplimit",10,10,310.818354288737,310.818354288737,310.818354288737,310.818354288737
"idlimit",10,10,299.4537353515625,299.4537353515625,299.4537353515625,299.4537353515625
20
"skiplimit",10,20,289.3606821695964,289.3606821695964,289.3606821695964,289.3606821695964
"idlimit",10,20,289.8375193277995,289.8375193277995,289.8375193277995,289.8375193277995
30
"skiplimit",10,30,292.9369608561198,292.9369608561198,292.9369608561198,292.9369608561198
"idlimit",10,30,290.07593790690106,290.07593790690106,290.07593790690106,290.07593790690106
40
"skiplimit",10,40,283.0823262532552,283.0823262532552,283.0823262532552,283.0823262532552
"idlimit",10,40,285.78440348307294,285.78440348307294,285.78440348307294,285.78440348307294
50
"skiplimit",10,50,294.2879994710286,294.2879994710286,294.2879994710286,294.2879994710286
"idlimit",10,50,291.1090850830078,291.1090850830078,291.1090850830078,291.1090850830078
60
"skiplimit",10,60,291.4269765218099,291.4269765218099,291.4269765218099,291.4269765218099
"idlimit",10,60,289.2812093098958,289.2812093098958,289.2812093098958,289.2812093098958
70
"skiplimit",10,70,290.15541076660156,290.15541076660156,290.15541076660156,290.15541076660156
"idlimit",10,70,287.69175211588544,287.69175211588544,287.69175211588544,287.69175211588544
80
"skiplimit",10,80,286.8970235188802,286.8970235188802,286.8970235188802,286.8970235188802
"idlimit",10,80,286.34071350097656,286.34071350097656,286.34071350097656,286.34071350097656
90
"skiplimit",10,90,292.85748799641925,292.85748799641925,292.85748799641925,292.85748799641925
"idlimit",10,90,287.2149149576823,287.2149149576823,287.2149149576823,287.2149149576823
100
"skiplimit",10,100,284.5923105875651,284.5923105875651,284.5923105875651,284.5923105875651
"idlimit",10,100,286.102294921875,286.102294921875,286.102294921875,286.102294921875
15
10
"skiplimit",15,10,279.9431482950846,270.843505859375,270.843505859375,270.843505859375
"idlimit",15,10,300.2087275187174,293.0959065755208,293.0959065755208,293.0959065755208
20
"skiplimit",15,20,303.58632405598956,303.58632405598956,303.58632405598956,303.58632405598956
"idlimit",15,20,341.17698669433594,341.17698669433594,341.17698669433594,341.17698669433594
30
"skiplimit",15,30,293.1753794352214,293.1753794352214,293.1753794352214,293.1753794352214
"idlimit",15,30,293.8111623128255,293.8111623128255,293.8111623128255,293.8111623128255
40
"skiplimit",15,40,293.731689453125,293.731689453125,293.731689453125,293.731689453125
"idlimit",15,40,292.85748799641925,292.85748799641925,292.85748799641925,292.85748799641925
50
"skiplimit",15,50,301.20213826497394,301.20213826497394,301.20213826497394,301.20213826497394
"idlimit",15,50,301.4405568440755,301.4405568440755,301.4405568440755,301.4405568440755
60
"skiplimit",15,60,301.9173940022786,301.9173940022786,301.9173940022786,301.9173940022786
"idlimit",15,60,296.4337666829427,296.4337666829427,296.4337666829427,296.4337666829427
70
"skiplimit",15,70,295.40061950683594,295.40061950683594,295.40061950683594,295.40061950683594
"idlimit",15,70,299.61268107096356,299.61268107096356,299.61268107096356,299.61268107096356
80
"skiplimit",15,80,294.76483662923175,294.76483662923175,294.76483662923175,294.76483662923175
"idlimit",15,80,300.1689910888672,300.1689910888672,300.1689910888672,300.1689910888672
90
"skiplimit",15,90,293.3343251546224,293.3343251546224,293.3343251546224,293.3343251546224
"idlimit",15,90,291.2680308024089,291.2680308024089,291.2680308024089,291.2680308024089
100
"skiplimit",15,100,290.5527750651042,290.5527750651042,290.5527750651042,290.5527750651042
"idlimit",15,100,321.1498260498047,321.1498260498047,321.1498260498047,321.1498260498047
20
10
"skiplimit",20,10,280.61866760253906,276.80397033691406,276.80397033691406,276.80397033691406
"idlimit",20,10,310.7388814290365,282.44654337565106,282.44654337565106,282.44654337565106
20
"skiplimit",20,20,303.42737833658856,303.42737833658856,303.42737833658856,303.42737833658856
"idlimit",20,20,307.32154846191406,307.32154846191406,307.32154846191406,307.32154846191406
30
"skiplimit",20,30,299.69215393066406,299.69215393066406,299.69215393066406,299.69215393066406
"idlimit",20,30,301.04319254557294,301.04319254557294,301.04319254557294,301.04319254557294
40
"skiplimit",20,40,304.85788981119794,304.85788981119794,304.85788981119794,304.85788981119794
"idlimit",20,40,298.9768981933594,298.9768981933594,298.9768981933594,298.9768981933594
50
"skiplimit",20,50,298.8179524739583,298.8179524739583,298.8179524739583,298.8179524739583
"idlimit",20,50,304.4605255126953,304.4605255126953,304.4605255126953,304.4605255126953
60
"skiplimit",20,60,300.0100453694661,300.0100453694661,300.0100453694661,300.0100453694661
"idlimit",20,60,299.69215393066406,299.69215393066406,299.69215393066406,299.69215393066406
70
"skiplimit",20,70,298.0232238769531,298.0232238769531,298.0232238769531,298.0232238769531
"idlimit",20,70,308.5931142171224,308.5931142171224,308.5931142171224,308.5931142171224
80
"skiplimit",20,80,299.4537353515625,299.4537353515625,299.4537353515625,299.4537353515625
"idlimit",20,80,300.0895182291667,300.0895182291667,300.0895182291667,300.0895182291667
90
"skiplimit",20,90,304.93736267089844,304.93736267089844,304.93736267089844,304.93736267089844
"idlimit",20,90,367.4030303955078,367.4030303955078,367.4030303955078,367.4030303955078
100
"skiplimit",20,100,302.7121225992839,302.7121225992839,302.7121225992839,302.7121225992839
"idlimit",20,100,325.6003061930339,325.6003061930339,325.6003061930339,325.6003061930339
25
10
"skiplimit",25,10,273.3866373697917,272.1945444742839,272.1945444742839,263.8498942057292
"idlimit",25,10,301.65248446994354,293.49327087402344,293.49327087402344,292.3011779785156
20
"skiplimit",25,20,286.9764963785807,273.70452880859375,273.70452880859375,273.70452880859375
"idlimit",25,20,304.5797348022461,304.30157979329425,304.30157979329425,304.30157979329425
30
"skiplimit",25,30,310.4209899902344,310.4209899902344,310.4209899902344,310.4209899902344
"idlimit",25,30,307.24207560221356,307.24207560221356,307.24207560221356,307.24207560221356
40
"skiplimit",25,40,313.2820129394531,313.2820129394531,313.2820129394531,313.2820129394531
"idlimit",25,40,325.99767049153644,325.99767049153644,325.99767049153644,325.99767049153644
50
"skiplimit",25,50,342.5280253092448,342.5280253092448,342.5280253092448,342.5280253092448
"idlimit",25,50,337.91859944661456,337.91859944661456,337.91859944661456,337.91859944661456
60
